https://gb.ru/courses/149|Алгоритмы и структуры данных. Базовый курс.. Эффективные решения вычислительных задач.|онлайн-курс|1 месяц|None|16500
https://gb.ru/courses/152|ReactJS. Базовый курс. Профессиональная frontend-разработка на ReactJS.|онлайн-курс|1 месяц|None|13167
https://gb.ru/courses/154|Операционные системы. Архитектура и принципы межпроцессного взаимодействия.|онлайн-курс|1 месяц|[datetime.date(2021, 7, 2)]|16500
https://gb.ru/courses/171|Подготовка к собеседованию веб-разработчика. Тренинг по подготовке к собеседованию.|онлайн-курс|1 месяц|None|13162
https://gb.ru/courses/182|Основы веб-разработки на Spring Framework. Создание веб-приложений на Java.|онлайн-курс|1 месяц|[datetime.date(2021, 6, 8)]|16500
https://gb.ru/courses/197|Основы языка C. Закладываем фундамент Ваших знаний.|видеокурс|1 месяц|None|бесплатно
https://gb.ru/courses/216|Клиент-серверные приложения на Python. GeekUniversity.|онлайн-курс|1 месяц|None|16500
https://gb.ru/courses/218|Основы Django Framework . Создание веб-сайта.|онлайн-курс|1 месяц|None|16500
https://gb.ru/courses/224|Клиент-серверные iOS-приложения. Swift 5.2, Xcode 12.|онлайн-курс|1 месяц|None|16500
https://gb.ru/courses/248|Знакомство с Unity. Знакомство с Unity.|онлайн-курс|1 месяц|[datetime.date(2021, 6, 3)]|16500
https://gb.ru/courses/264|Алгоритмы и структуры данных на Python. Базовый курс. Эффективные решения вычислительных задач.|онлайн-курс|1 месяц|[datetime.date(2021, 6, 8), datetime.date(2021, 6, 14)]|16500
https://gb.ru/courses/266|Архитектура и шаблоны проектирования на Python. Архитектура и шаблоны проектирования на Python.|онлайн-курс|2 месяца|None|16500
https://gb.ru/courses/306|C# ASP.NET Core. Уровень 2. Cоздание веб-сайтов и порталов продвинутый уровень.|онлайн-курс|1 месяц|None|13167
https://gb.ru/courses/307|Linux. Рабочая станция. Практика администрирования ОС Linux на компьютере.|онлайн-курс|1 месяц|None|16500
https://gb.ru/courses/362|Безопасность проводных и беспроводных сетей. Безопасность компьютерных сетей.|онлайн-курс|1 месяц|None|16500
https://gb.ru/courses/443|Производительность iOS-приложений. Swift 5.2 Xcode 12.|онлайн-курс|1 месяц|None|16500
https://gb.ru/courses/476|Библиотеки Python для Data Science: Numpy, Matplotlib, Scikit-learn. Библиотеки  Python для Data Science.|онлайн-курс|1 месяц|None|16500
https://gb.ru/courses/478|Теория вероятностей  и математическая статистика. Введение в теорию вероятностей и математическую статистику.|онлайн-курс|1 месяц|[datetime.date(2021, 6, 14)]|16500
https://gb.ru/courses/480|Основы веб-дизайна. Шрифты, типографика, колористика, композиция, модульные сетки.|онлайн-курс|2 месяца|[datetime.date(2021, 6, 24)]|16500
https://gb.ru/courses/484|Основы вёрстки для веб-дизайнера. Понять, как происходит вёрстка, и освоить её базовые навыки.|онлайн-курс|1,5 месяца|[datetime.date(2021, 6, 9)]|16500
https://gb.ru/courses/498|Методы сбора и обработки данных из сети Интернет. Парсинг и краулинг.|онлайн-курс|1 месяц|None|16500
https://gb.ru/courses/511|Базы данных и PyQT. Создание сетевых desktop приложений.|онлайн-курс|1 месяц|None|16500
https://gb.ru/courses/528|ООП на примере C++. ООП на примере C++.|онлайн-курс|1 месяц|None|8767
https://gb.ru/courses/543|SEO-специалист. Практический курс по поисковому продвижению..|онлайн-курс|1 месяц|None|16500
https://gb.ru/courses/571|Основы UX. Базовые знания по созданию интерфейсов .|онлайн-курс|2 месяца|[datetime.date(2021, 6, 3), datetime.date(2021, 6, 10)]|26070
https://gb.ru/courses/591|Видеокурс: Интенсив для Product Manager-ов. Продакт-менеджмент: от идеи до выхода на рынок .|видеокурс|2 дня|None|0
https://gb.ru/courses/593|Основы продакт-менеджмента. Запись офлайн курса для продакт-менеджеров.|видеокурс|2 дня|None|2200
https://gb.ru/courses/608|Компьютерные сети. Интерактивный курс. Сети.|онлайн-курс|1 месяц|None|16500
https://gb.ru/courses/617|Программирование на Kotlin под Android . Программирование на Kotlin под Android.|онлайн-курс|1 месяц|None|16500
https://gb.ru/courses/690|Основы реляционных баз данных. MySQL. Основы реляционных баз данных. MySQL.|онлайн-курс|1 месяц|None|16500
https://gb.ru/courses/739|Таргетированная реклама в соц. сетях. Adventum. Видеокурс. Таргетированная реклама как высококонверсионный инструмент.|видеокурс|1 месяц|None|13167
https://gb.ru/courses/746|Профессиональная разработка Android-приложений. Профессиональная разработка Android-приложений.|онлайн-курс|1 месяц|None|16500
https://gb.ru/courses/754|Основы программирования. Видеокурс. Азы программирования, основные термины и понятия.|видеокурс|1 месяц|None|бесплатно
https://gb.ru/courses/830|Инструменты в SMM. Инструменты в SMM.|онлайн-курс|1 месяц|None|19800
https://gb.ru/courses/836|Алгоритмы, архитектура и паттерны на PHP. Алгоритмы, архитектура и паттерны на PHP.|онлайн-курс|1 месяц|[datetime.date(2021, 6, 21)]|13167
https://gb.ru/courses/935| Законное индивидуальное предпринимательство и фриланс. Законодательные тонкости при работе с валютой. Регистрация и налоги. .|видеокурс|3 занятия|None|11000
