Python-разработка|Программист Python|GeekBrains|100000|2021-06-15|8 мес.|https://gb.ru/professions/python_developer
Python-разработка|Курс Python для веб-разработки|SkillFactory|59400|2021-06-18|9 мес.|https://skillfactory.ru/python-for-web-developers
Python-разработка|Основы Python с 0|ProductStar|29900||2 мес.|https://productstar.ru/analytics-mini-course-python
Python-разработка|Как стать мидл  python-разработчиком|Яндекс Практикум|85000||6 мес.|https://praktikum.yandex.ru/middle-python/
Python-разработка|Профессия Fullstack-разработчик на Python|Skillbox|145440|2021-06-16|12 мес.|https://skillbox.ru/course/profession-fullstack-python/
Python-разработка|Python для анализа данных|Нетология|31500|2021-06-25|4 мес.|https://netology.ru/programs/python-for-analytics/
Python-разработка|Python-разработчик PRO|GeekBrains|75000|2021-06-14|6 мес.|https://gb.ru/professions/python-developer-pro
Python-разработка|Python-фреймворк Django|Skillbox|16800|2021-06-16|6 мес.|https://skillbox.ru/course/django-framework/
Python-разработка|Django: создание функциональных веб-приложений|Нетология|20900||2 мес.|https://netology.ru/programs/django/
Python-разработка|Основы программирования на Python|GeekBrains|18000|2021-06-15|3 мес.|https://gb.ru/courses/geek-school/python
Python-разработка|Основы языка Python От основ программирования до построения программ с использованием ООП|GeekBrains|15000|2021-07-15|1 мес.|https://gb.ru/courses/13
Python-разработка|Основы Django Framework Создание веб-сайта|GeekBrains|15000|2021-06-28|1 мес.|https://gb.ru/courses/218
Python-разработка|Алгоритмы и структуры данных на Python. Базовый курс|GeekBrains|15000|2021-06-15|1 мес.|https://gb.ru/courses/264
Python-разработка|Клиент-серверные приложения на Python|GeekBrains|15000|2021-06-15|1 мес.|https://gb.ru/courses/216
Python-разработка|Основы языка Python|GeekBrains|15000|2021-07-15|1 мес.|https://gb.ru/courses/13
Python-разработка|Python|Skillbox|||10 зан.|https://live.skillbox.ru/playlists/code/python/|Видеозанятия в записи
Python-разработка|Python-разработка для начинающих|Нетология|||6 зан.|https://netology.ru/programs/python-free|Видеозанятия в записи + домашние задания
